author;contributors;created_at;description;description2;industry;language_primary;languages;license;link;ml_detected;ml_libs;ml_tags;ml_terms;name;pushed_at;scraped_at;stars;stars_score;title;type
jrieke;0;2016-02-20 00:19:59;Neural networks with LSTM to classify and predict biological cell movement;LSTM to predict biological cell movement.;Biotechnological & Life Sciences;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/jrieke/lstm-biology;1.0;['keras', 'theano'];['Classification', 'LSTM', 'NN', 'RNN'];['classif', 'lstm', 'neural network', 'predict', 'test data', 'train'];Cell Movement;2016-09-09 14:42:16;2020-10-30 23:48:29;2;0.152;lstm-biology;General
JSchelldorfer;0;2018-10-24 11:05:52;Code for the Actuarial Data Science Tutorials published at https://actuarialdatascience.org.;A range of actuarial tools in R.;Banking & Insurance;HTML;['HTML: 62.1%', 'Jupyter Notebook: 36.9%', 'Other: 1.0%'];;https://github.com/JSchelldorfer/ActuarialDataScience;1.0;['keras', 'nltk', 'skimage', 'sklearn', 'spacy', 'tensorflow', 'vocabulary', 'xgboost'];['AlexNet', 'CNN', 'CV', 'Classification', 'Clustering', 'DL', 'GRU', 'Gradient Boosting', 'LSTM', 'Logistic Regression', 'ML', 'NLP', 'NN', 'Object Detection', 'RL', 'RNN', 'Random Forest', 'ReLu', 'Regression'];['ANN', 'CV', 'DL', 'ML', 'NLP', 'NN', 'RNN', 'activation function', 'classif', 'clustering', 'convolutional neural network', 'deep learning', 'epoch', 'filter', 'fit', 'gradient boosting', 'gru', 'k-means', 'label', 'layer', 'loss', 'lstm', 'machine learning', 'model', 'natural language processing', 'neural network', 'output layer', 'predict', 'random forest', 'rank', 'recogn', 'recommend', 'recurrent neural network', 'regression', 'supervised learning', 'test data', 'train', 'training data', 'unsupervised learning'];Actuarial Sciences ®;2020-09-28 17:05:45;2020-10-30 23:43:26;46;0.439;ActuarialDataScience;Insurance and Risk
jstac;2;;Code and notebooks for Econometric Theory;Notebooks of A Primer on Econometric theory.;Economics;Jupyter Notebook;['Jupyter Notebook: 99.9%', 'Other: 0.1%'];;https://github.com/jstac/econometrics/;0.8;['sklearn', 'statsmodels'];['Bayesian', 'Linear Regression', 'RL', 'Regression'];[];Econometric Theory;2016-09-19 01:09:26;2020-10-31 00:31:00;;0.0;econometrics;Computational
jstac;14;2015-12-15 10:30:27;Quantitative Economics;Quantitative economics course by NYU;Economics;Jupyter Notebook;['Jupyter Notebook: 93.8%', 'HTML: 5.8%', 'Julia: 0.4%', 'C: 0.0%', 'MATLAB: 0.0%', 'Python: 0.0%'];BSD-3-Clause;https://github.com/jstac/quantecon_nyu_2016;1.0;['sklearn', 'statsmodels'];['AI', 'Bayesian', 'CV', 'Classification', 'Linear Regression', 'Logistic Regression', 'ML', 'RL', 'Regression'];['fit', 'machine learning', 'model', 'predict', 'recogn', 'recommend'];Quant Econ;2016-05-08 23:37:34;2020-10-31 00:30:33;84;0.486;quantecon_nyu_2016;Computational
jubins;3;2016-11-23 22:36:17;Food image prediction using TensorFlow and calorie estimation using K-Nearest-Neighbors algoritm;Estimate calories from photos of food;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 97.5%', 'Python: 2.5%'];;https://github.com/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation;1.0;['pattern', 'sklearn', 'tensorflow'];['CNN', 'CV', 'Classification', 'Clustering', 'K-Means', 'NN', 'RL'];['CV', 'label', 'layer', 'model', 'predict', 'train'];Calorie Estimation;2020-10-07 23:20:39;2020-10-30 23:33:21;38;0.423;DeepLearning-Food-Image-Recognition-And-Calorie-Estimation;Food
JulianMar11;3;2018-09-18 07:09:14;framework to analyze newspapers with respect to their political conviction using entity sentiments of party representatives.;Analyse newspapers with respect to their political conviction using entity sentiments of party representatives.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 92.9%', 'HTML: 6.4%', 'Python: 0.7%'];MIT;https://github.com/JulianMar11/SentimentPoliticalCompass;0.5;[];['AI', 'GRU', 'ML', 'RL', 'Regression', 'Sentiment Analysis'];['AI', 'NLU', 'NN', 'RL', 'fit', 'gru', 'named entity recognition', 'recogn', 'sentiment analysis'];Sentiment;2018-09-28 22:22:00;2020-10-31 00:56:19;11;0.311;SentimentPoliticalCompass;Politics
k2inno-tech;4;2016-07-11 23:40:26;A collection of Jupyter notebooks authored by the UCSD Center for Computational Biology & Bioinformatics (http://compbio.ucsd.edu). These include methods on utilizing cloud computing resources and analysis of data from next-generation sequencing, systems biology, and microbiome.;Collection of computation biology and bioinformatics notebooks.;Biotechnological & Life Sciences;Jupyter Notebook;['Jupyter Notebook: 99.3%', 'Other: 0.7%'];MIT;https://github.com/k2inno-tech/jupyter-genomics;0.8;['nltk', 'pattern', 'sklearn'];['AI', 'ANN', 'CV', 'Classification', 'Clustering', 'Decision Tree', 'ML', 'NLG', 'NN', 'RL'];[];Jupyter Genomics;2016-07-11 22:37:37;2020-10-30 23:52:53;1;0.099;jupyter-genomics;Genomics
kaiareyes;0;2018-07-31 10:51:08;An investigation of Local Government Area ambulance time variation in Victoria using open datasets. Pre-processing, integration, analysis, and visualization of multiple datasets using pandas and numpy libraries in Python.;An investigation of Local Government Area ambulance time variation in Victoria.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/kaiareyes/ambulance;0.0;[];[];[];Ambulance Analysis;2018-07-31 10:56:45;2020-10-31 00:34:56;0;0.0;ambulance;Ambulance:
kaitai;0;;Various stress testing/risk modeling techniques in a jupyter notebook, in Python 3.4.;A notebook with various stress testing exercises.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/kaitai/stress-testing-with-jupyter/;0.8;['pattern', 'statsmodels'];['Linear Regression', 'Regression'];[];Stress Testing Techniques;2019-09-12 00:48:45;2020-10-31 00:20:27;;0.0;stress-testing-with-jupyter;Insurance and Risk
Karagul;0;;Bank of England stress test analyses;Stress test results and plotting.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/Karagul/BoE_stress_test/;0.0;[];[];[];BoE stress test;2018-12-18 21:41:29;2020-10-31 00:20:30;;0.0;BoE_stress_test;Insurance and Risk
kaumaron;2;;Data Science Portfolio for Andrew DeCotiis-Mauro. Covers topics such as CEO compensation, congressional partisanship, web scraping, grade analysis and education.;Analysis of CEO compensation.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 99.2%', 'Python: 0.8%'];;https://github.com/kaumaron/Data_Science/;1.0;['keras', 'sklearn', 'statsmodels'];['ANN', 'Classification', 'Decision Tree', 'Linear Regression', 'ML', 'NN', 'RL', 'ReLu', 'Regression'];['ML', 'artificial intelligence', 'deep learning'];CEO;2020-01-28 23:39:48;2020-10-31 00:19:59;;0.0;Data_Science;Management and Operations
Kevin-McIsaac;0;2017-01-19 22:49:18;Australian nightlife and its regulation and policing (;Australian nightlife and its regulation and policing;Justice, Law and Regulations;Jupyter Notebook;['Jupyter Notebook: 99.9%', 'Python: 0.1%'];;https://github.com/Kevin-McIsaac/Nightlife;1.0;['pattern', 'statsmodels'];['AI', 'Bayesian', 'GAN', 'Linear Regression', 'Regression'];['loss'];Night Life Regulation;2017-02-26 23:15:03;2020-10-31 00:42:48;6;0.253;Nightlife;Policy and Regulatory
khanhnamle1994;0;2019-01-11 12:28:08;A clothing retrieval and visual recommendation model for fashion images.;A clothing retrieval and visual recommendation model for fashion images;Miscellaneous;Python;['Python: 100.0%'];;https://github.com/khanhnamle1994/fashion-recommendation;1.0;['tensorflow'];['AI', 'ReLu', 'ResNet', 'VGG'];['classif', 'deep learning', 'image classification', 'layer', 'model', 'predict', 'recommend', 'resnet', 'train'];Fashion;2019-02-08 20:47:21;2020-10-31 00:45:55;174;0.539;fashion-recommendation;Tourism
kkirchhoff01;0;2015-12-17 06:26:44;Program to analyze political debates.;Program to analyze political debates.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 69.9%', 'Python: 30.1%'];;https://github.com/kkirchhoff01/DebateAnalysis;1.0;['nltk', 'pattern'];['NN'];['machine learning'];Debate Analysis;2016-06-01 18:20:14;2020-10-31 00:56:51;1;0.099;DebateAnalysis;Politics
klin90;0;2017-06-21 06:07:22;Analysis of Restaurant Competitiveness;Restaurant competitiveness analysis;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 100.0%'];GPL-3.0;https://github.com/klin90/missinglink;0.2;[];[];['AI', 'NER', 'RL', 'bayesian', 'clustering', 'fit', 'loss', 'model', 'predict', 'propagation', 'recogn', 'supervised learning'];Competition;2017-06-24 15:49:32;2020-10-30 23:34:46;2;0.152;missinglink;Restaurant
kmunger;0;2019-04-06 17:21:26;Replication for Munger (2019) -- Mapping Politics on YouTube;Mapping Politics on YouTube;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 64.0%', 'R: 36.0%'];;https://github.com/kmunger/YT_descriptive;0.3;[];['AI'];[];YT Politics;2020-06-12 03:15:21;2020-10-31 00:57:09;2;0.152;YT_descriptive;Politics
kralmachine;0;2019-01-24 09:26:48;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Wholesale customer analysis.;Wholesale & Retail;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/kralmachine/WholesaleCustomerAnalysis;0.5;['sklearn'];[];[];Customer Analysis;2019-01-24 09:28:37;2020-10-31 01:07:28;3;0.188;WholesaleCustomerAnalysis;Wholesale
krpiyush5;0;2018-11-21 19:51:11;Machine learning algorithm such as KNN,Naive Bayes,Logistic Regression,SVM,Decision Trees,Random Forest,k means and Truncated SVD on amazon fine food review;Machine learning algorithm for amazon fine food review;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/krpiyush5/Amazon-Fine-Food-Review;1.0;['gensim', 'nltk', 'pattern', 'sklearn', 'xgboost'];['CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'K-Means', 'KNN', 'Logistic Regression', 'NN', 'Naive Bayes', 'Random Forest', 'Regression'];['KNN', 'NN', 'decision tree', 'logistic regression', 'lstm', 'naive bayes', 'predict', 'random forest', 'regression'];Amazon Food Review;2019-07-26 16:08:23;2020-10-30 23:34:10;21;0.371;Amazon-Fine-Food-Review;Food
kshitizkhanal7;2;2016-11-20 10:42:27;An Open Education experiment teaching Aerodynamics using Paper Planes;Aerodynamics using planes.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 91.9%', 'HTML: 8.1%'];;https://github.com/kshitizkhanal7/Aerogami;0.0;[];[];[];Aerogami;2020-09-30 13:41:59;2020-10-31 00:24:31;14;0.334;Aerogami;Engineering
KSpiliop;0;2017-04-23 19:26:01;Tuning XGBoost hyper-parameters with Simulated Annealing;Fraud Detection by tuning XGBoost hyper-parameters with Simulated Annealing;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/KSpiliop/Fraud_Detection;1.0;['sklearn', 'xgboost'];['Classification', 'Logistic Regression', 'ML', 'Regression'];['classif', 'detect', 'fit', 'label', 'logistic regression', 'loss', 'machine learning', 'model', 'predict', 'regression', 'test data', 'train', 'validation data'];XGBoost;2017-04-26 18:15:31;2020-10-30 23:42:56;35;0.416;Fraud_Detection;Fraud
LaranIkal;0;2019-03-23 16:20:21;Identifying product anomalies with R and H2O;Maitenance Prediction For Manufacturing Stations.;Manufacturing;;[];MIT;https://github.com/LaranIkal/ProductAnomaliesDetection;0.2;[];[];['detect'];Maintenance Prediction;2019-05-13 12:18:10;2020-10-31 00:44:15;4;0.214;ProductAnomaliesDetection;Maintenance
LauraChen;0;2018-01-21 01:56:59;Scraping online data about charities to understand effectiveness;Scraping online data about charities to understand effectiveness;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 98.5%', 'Python: 1.5%'];;https://github.com/LauraChen/02-Metis-Web-Scraping;0.8;['sklearn', 'statsmodels'];['AI', 'CV', 'DL', 'Regression'];[];Charity Effectiveness;2018-01-29 17:57:12;2020-10-31 00:52:31;0;0.0;02-Metis-Web-Scraping;Charities
Law-AI;4;2018-12-17 08:29:13;Implementation of different summarization algorithms applied to legal case judgements.;Implementation of different summarisation algorithms applied to legal case judgements.;Justice, Law and Regulations;Python;['Python: 87.3%', 'HTML: 12.7%'];;https://github.com/Law-AI/summarization;1.0;['nltk', 'pattern', 'sklearn', 'tensorflow', 'theano', 'vocabulary'];['AI', 'ANN', 'Boltzmann Machine', 'Classification', 'DL', 'LSTM', 'Logistic Regression', 'ML', 'NER', 'NLP', 'NN', 'RL', 'RNN', 'ReLu', 'Regression'];['ML', 'boltzmann machine', 'classif', 'deep learning', 'detect', 'document summarization', 'fit', 'label', 'layer', 'loss', 'model', 'neural network', 'predict', 'rank', 'train', 'training data', 'validation data'];Legal Case Summarisation;2019-02-01 05:10:48;2020-10-31 00:41:59;30;0.403;summarization;Tools
LeadingIndiaAI;0;2018-09-13 11:14:59;Wildfire is a natural disaster, causing irreparable damage to local ecosystem. Sudden and uncontrollable wildfires can be a real threat to residents lives. Statistics from National Interagency Fire Center (NIFC) in the USA show that the burned area doubled from 1990 to 2015 in the USA. Recent wildfires in northern California (reported by CNN) h;Forest fire detection through UAV imagery using CNNs;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 98.8%', 'Python: 1.2%'];;https://github.com/LeadingIndiaAI/Forest-Fire-Detection-through-UAV-imagery-using-CNNs;1.0;['keras'];['ReLu', 'VGG'];['CNN', 'NN', 'detect'];Forest Fire;2018-09-13 11:22:10;2020-10-31 00:32:28;22;0.375;Forest-Fire-Detection-through-UAV-imagery-using-CNNs;Preventative and Reactive
Lemma1;0;2017-11-26 23:24:03;Implementation of dynamic origin-destination demand estimation;Implementation of dynamic origin-destination demand estimation.;Utilities;Jupyter Notebook;['Jupyter Notebook: 65.8%', 'Python: 34.2%'];MIT;https://github.com/Lemma1/DPFE;0.2;[];[];['gradient descent'];Demand Estimation;2018-10-15 06:28:02;2020-10-31 01:06:08;9;0.292;DPFE;Transportation
leportella;0;2018-07-18 21:48:37;Prediction on type of victims on federal road accidents in Brazil;Prediction on type of victims on federal road accidents in Brazil.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 99.9%', 'Python: 0.1%'];;https://github.com/leportella/federal-road-accidents;1.0;['sklearn'];['CV', 'Classification', 'ML', 'ReLu', 'Regression'];['CV', 'classif', 'fit', 'machine learning', 'model', 'naive bayes', 'neural network', 'predict', 'random forest', 'train'];Road accident prediction;2018-09-21 19:22:03;2020-10-31 00:35:44;20;0.367;federal-road-accidents;Disaster Management
LexPredict;9;2017-07-14 11:50:52;LexPredict ContraxSuite;Software package and library.;Justice, Law and Regulations;Python;['Python: 49.0%', 'Jupyter Notebook: 32.9%', 'HTML: 8.0%', 'CSS: 6.2%', 'JavaScript: 2.7%', 'Shell: 1.2%'];AGPL-3.0;https://github.com/LexPredict/lexpredict-contraxsuite;1.0;['gensim', 'nltk', 'pattern', 'sklearn', 'vocabulary'];['AI', 'ANN', 'CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'K-Means', 'ML', 'NER', 'NLP', 'NN', 'RL', 'Regression'];['AI', 'ML', 'NLP', 'RL', 'classif', 'clustering', 'detect', 'filter', 'fit', 'gradient boosting', 'k-means', 'label', 'machine learning', 'model', 'natural language processing', 'predict', 'random forest', 'rank', 'recogn', 'recommend', 'regression', 'support vector machines', 'train'];LexPredict;2020-09-23 16:32:01;2020-10-31 00:41:53;134;0.521;lexpredict-contraxsuite;Tools
limberc;0;2017-12-18 08:51:40;Intelligent Manufacturing Quality Forecast;Intelligent Manufacturing Quality Forecast;Manufacturing;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/limberc/tianchi-IMQF;0.8;['lightgbm', 'sklearn'];['Regression'];[];Manufacturing Quality;2017-12-18 08:54:02;2020-10-31 00:44:29;0;0.0;tianchi-IMQF;Quality
llSourcell;0;2018-05-19 04:50:19;"This is the code for ""AI for Supply Chain"" by Siraj Raval on Youtube";Supply chain optimisation system.;Utilities;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/llSourcell/AI_Supply_Chain;0.5;[];['AI', 'Chatbot', 'ML', 'NLP'];['RL', 'fit', 'label', 'recommend'];AI Supply chain;2018-11-30 21:12:11;2020-10-31 01:07:15;103;0.502;AI_Supply_Chain;Transportation
llSourcell;0;2019-06-13 03:34:31;Predict mining prospects and mineral deposits using deep learning and satellite imagery;Predict mining prospects and mineral deposits using deep learning and satellite imagery;Utilities;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/llSourcell/mapo;0.5;[];['DL', 'RL'];['AI', 'NER', 'NN', 'RL', 'fit'];Mining Prospects;2019-06-13 03:35:01;2020-10-31 01:02:46;29;0.4;mapo;Coal, Oil & Gas
lnsongxf;0;;ECON457 2018 Applied Computational Economics and Finance;Applied Computational Economics and Finance;Economics;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/lnsongxf/Applied_Computational_Economics_and_Finance/;0.3;[];['Classification', 'Linear Regression', 'ML', 'NLP', 'NN', 'Regression'];[];Applied Econ & Fin;2017-08-26 04:26:04;2020-10-31 00:30:10;;0.0;Applied_Computational_Economics_and_Finance;General
Lolonon;0;2018-12-05 03:39:28;A restaurant analytical solution for customers, restaurant owners and investors. Including restaurant recommender, rating predictor and closure event predictor;Three prediction tasks using Yelp data;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 93.3%', 'JavaScript: 5.9%', 'Other: 0.8%'];;https://github.com/Lolonon/Restaurant-Analytical-Solution;0.8;['keras', 'nltk', 'sklearn', 'vocabulary'];['CNN', 'Classification', 'DL', 'KNN', 'Logistic Regression', 'ML', 'NLP', 'NN', 'Naive Bayes', 'Recommender', 'Regression'];[];Closure, Rating and Recommendation;2018-12-05 04:10:48;2020-10-30 23:35:45;0;0.0;Restaurant-Analytical-Solution;Restaurant
LongOnly;0;2018-10-01 01:59:06;Educational notebooks on quantitative finance, algorithmic trading, financial modelling and investment strategy;Educational notebooks on quant finance, algorithmic trading and investment strategy.;Finance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];Apache-2.0;https://github.com/LongOnly/Quantitative-Notebooks;1.0;['pattern', 'sklearn'];['Decision Tree'];['ML', 'decision tree', 'fit', 'machine learning'];Quant Notebooks;2020-07-02 00:17:39;2020-10-31 00:38:14;303;0.576;Quantitative-Notebooks;Trading & Investment
longtng;0;;A Consideration Point of Fraud Detection in Bank Loans - Project Aug 2018;Fraud detection in bank loans.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/longtng/frauddetectionproject/;0.5;[];['KNN', 'NN', 'Random Forest'];['classif', 'detect', 'fit', 'logistic regression', 'machine learning', 'model', 'random forest', 'regression'];Fraud Detection Loan in R;2019-02-18 15:46:42;2020-10-31 00:20:02;;0.0;frauddetectionproject;Fraud
luqmanhakim;0;;Notebook research on the SP Wholesale plan and find out if its cheaper than all SG energy retailers plans;Electricity price comparison Singapore.;Utilities;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/luqmanhakim/research-on-sp-wholesale/;0.5;['pattern'];[];[];Electricity Price;2018-11-08 05:57:25;2020-10-31 00:58:07;;0.0;research-on-sp-wholesale;Electricity
m-hoff;0;2018-07-19 16:30:25;Simulation of maintenance in manufacturing systems;Simulation of maintenance in manufacturing systems.;Manufacturing;Python;['Python: 100.0%'];MIT;https://github.com/m-hoff/maintsim;0.5;[];['Classification'];['loss', 'model', 'train'];Manufacturing Maintenance;2020-11-23 21:33:39;2020-10-31 00:44:13;10;0.302;maintsim;Maintenance
manuvarkey;0;2017-10-18 05:08:40;GEstimator is a simple civil estimation software written in Python and GTK+. GEstimator can prepare estimates along with rate analysis and supports multiple databases.;Simple civil estimation software;Construction & Engineering;Python;['Python: 98.7%', 'NSIS: 1.3%'];GPL-3.0;https://github.com/manuvarkey/Gestimator;0.8;['pattern'];['AI', 'Classification', 'DL', 'ML', 'NN'];[];Gestimator;2020-07-20 15:45:23;2020-10-31 00:23:29;9;0.292;Gestimator;Engineering
marcotav;0;2018-10-27 02:54:47;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Hotel dynamic pricing calculations;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/marcotav/hotels;0.3;[];['Classification'];[];Dynamic Pricing;2018-10-28 20:52:29;2020-10-30 23:38:55;6;0.253;hotels;Accomodation
MarcusOlivecrona;2;2017-05-05 14:21:42;Molecular De Novo design using Recurrent Neural Networks and Reinforcement Learning;generating compounds predicted to be active against a biological target.;Biotechnological & Life Sciences;Python;['Python: 96.9%', 'CSS: 2.0%', 'Other: 1.1%'];MIT;https://github.com/MarcusOlivecrona/REINVENT;1.0;['sklearn', 'vocabulary'];['Classification', 'GRU', 'NN', 'RL', 'RNN'];['filter', 'loss', 'model', 'neural network', 'recurrent neural network', 'reinforcement learning', 'train'];RL;2019-10-15 12:32:41;2020-10-30 23:52:46;161;0.534;REINVENT;Chemoinformatics and drug discovery
materialsproject;15;2017-06-13 20:53:06;Be a master builder of databases of material properties. Avoid the Kragle.;Build databases of material properties.;Construction & Engineering;Python;['Python: 99.3%', 'Shell: 0.7%'];;https://github.com/materialsproject/emmet;1.0;['pattern'];['AI', 'DL', 'ML', 'RL'];['model'];Emmet;2020-11-28 20:02:48;2020-10-31 00:28:39;9;0.292;emmet;Material Science
materialsproject;166;;Python Materials Genomics (pymatgen) is a robust materials analysis code that defines core object representations for structures and molecules with support for many electronic structure codes. It is currently the core analysis code powering the Materials Project.;Robust material analysis code used in a well-established project.;Construction & Engineering;Python;['Python: 100.0%'];MIT;https://github.com/materialsproject/pymatgen/;1.0;['h2o', 'pattern', 'skimage'];['AI', 'ANN', 'Bayesian', 'CV', 'Classification', 'Clustering', 'DL', 'GAN', 'GRU', 'ML', 'NER', 'NLU', 'NN', 'RL', 'Regression'];['filter', 'recommend', 'regression'];Python Materials Genomics;2020-11-22 17:22:28;2020-10-31 00:28:12;;0.0;pymatgen;Material Science
materialsvirtuallab;6;2018-12-12 21:31:28;Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals;Graph networks as a ML framework for Molecules and Crystals;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 82.1%', 'Python: 16.4%', 'R: 0.6%', 'Makefile: 0.3%', 'Batchfile: 0.3%', 'HTML: 0.1%', 'Other: 0.2%'];BSD-3-Clause;https://github.com/materialsvirtuallab/megnet;1.0;['keras', 'pattern', 'sklearn', 'tensorflow'];['AI', 'CNN', 'Classification', 'LSTM', 'ML', 'NN', 'RL', 'ReLu', 'Regression'];['AI', 'ML', 'classif', 'deep learning', 'epoch', 'fit', 'layer', 'loss', 'machine learning', 'model', 'neural network', 'predict', 'recommend', 'relu', 'train', 'training data'];Megnet;2020-11-22 17:23:38;2020-10-31 00:28:47;210;0.552;megnet;Material Science
MAydogdu;0;;CFPB dataset related data exploration and analysis;Consumer Finances Protection Bureau complaints analysis.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/MAydogdu/ConsumerFinancialProtectionBureau/;0.8;['nltk'];['Classification', 'ML', 'NN', 'Sentiment Analysis'];[];CFPB;2017-09-28 19:31:58;2020-10-31 00:49:23;;0.0;ConsumerFinancialProtectionBureau;Social Policies
MAydogdu;0;2018-06-04 20:54:14;Extracting sentiment from financial statements using neural networks;Extracting sentiment from financial statements using neural networks.;Finance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/MAydogdu/TextualAnalysis;0.8;['keras', 'nltk', 'pattern', 'sklearn', 'tensorflow', 'vocabulary'];['Classification', 'LSTM', 'ML', 'NN'];[];Financial Statement Sentiment;2018-06-04 21:03:18;2020-10-31 00:36:49;7;0.268;TextualAnalysis;Trading & Investment
mbravidor;0;2018-04-07 22:55:34;Automatic DataStream requests which deliver a long-format CSV file;Datastrem from Thomson Reuters accessible through Python.;Finance;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/mbravidor/PyDSout;0.3;[];['AI'];[];Datastream;2018-04-07 22:59:38;2020-10-31 00:38:32;5;0.236;PyDSout;Data
mdeff;2;2018-07-10 10:29:37;Graph signal processing tutorial, presented at the GraphSiP summer school.;Graph signal processing tutorial;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 98.4%', 'Python: 1.5%', 'Makefile: 0.1%'];MIT;https://github.com/mdeff/pygsp_tutorial_graphsip;1.0;['pattern', 'sklearn'];['Clustering', 'K-Means', 'ML', 'NN'];['clustering', 'filter', 'model', 'recommend'];Graph Signal;2019-01-24 16:33:51;2020-10-31 00:24:55;35;0.416;pygsp_tutorial_graphsip;Engineering
Meena-Mani;0;2016-09-05 10:55:59;Approaches for the class imbalance problem (in semicondutor manufacturing process line data);Semicondutor manufacturing process line data analysis.;Manufacturing;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/Meena-Mani/SECOM_class_imbalance;1.0;['sklearn'];['AI', 'Anomaly Detection', 'Bayesian', 'CNN', 'CV', 'Classification', 'Decision Tree', 'GBM', 'GRU', 'Gradient Boosting', 'ML', 'NN', 'Random Forest', 'Support Vector Machines'];['GBM', 'anomaly', 'anomaly detection', 'detect', 'machine learning', 'predict', 'random forest'];Semiconductor Manufacturing;2020-03-14 15:24:03;2020-10-31 00:43:51;17;0.352;SECOM_class_imbalance;General
Mehranov;0;;For this project, we create a function that trains a model to predict blight ticket compliance in Detroit using train.csv. Using this model, we return a series with the data being the probability that each corresponding ticket from test.csv will be paid, and the index being the ticket_id.;Predicting property fines.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 72.1%', 'Python: 27.9%'];;https://github.com/Mehranov/UnderstandingAndPredictingPropertyMaintenanceFines/;1.0;['sklearn'];['Classification', 'Logistic Regression', 'ML', 'NN', 'Regression'];['machine learning', 'model', 'predict', 'test data', 'train'];Bylaws Compliance;2018-08-21 20:45:23;2020-10-31 00:29:30;;0.0;UnderstandingAndPredictingPropertyMaintenanceFines;Material Science
MengchuanFu;0;2017-04-07 17:47:56;With the rapid adoption of smartphones, tablets, and mobile apps, they are increasingly becoming part of childrens daily life for amusement and education. According to MarketingProfs, 75% of American children under 8 have access to a smartphone or tablet [1]. According to a survey conducted by PBS KIDS [2] 90% parents with kids between the ages;Suspicious app detection for kids.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/MengchuanFu/Suspecious-Apps-Detection;1.0;['nltk', 'sklearn', 'vocabulary'];['Logistic Regression', 'ML', 'Naive Bayes', 'Regression'];['classif', 'detect', 'machine learning', 'model', 'naive bayes', 'predict', 'regression', 'train'];Apps Detection;2017-04-07 20:11:28;2020-10-31 00:50:16;8;0.281;Suspecious-Apps-Detection;Social Policies
mesgarpour;2;2016-01-06 10:50:35;Temporal-Comorbidity Adjusted Risk of Emergency Readmission;Adjusted Risk of Emergency Readmission;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 51.2%', 'Python: 48.8%'];Apache-2.0;https://github.com/mesgarpour/T-CARER;1.0;['sklearn', 'statsmodels', 'tensorflow'];['CV', 'Classification', 'Decision Tree', 'Gradient Boosting', 'KNN', 'Logistic Regression', 'ML', 'NN', 'Naive Bayes', 'Random Forest', 'ReLu', 'Regression', 'Supervised Learning', 'Unsupervised learning'];['ML', 'NN', 'classif', 'logistic regression', 'machine learning', 'model', 'neural network', 'predict', 'random forest', 'recommend', 'regression'];Emergency Readmission;2017-12-23 11:18:23;2020-10-31 00:32:03;6;0.253;T-CARER;Preventative and Reactive
